campagne,date,jour,variable,groupe,valeur
2022-2023,2022-10-18,1,ACTE(VGP),65 ans et plus,149739
2022-2023,2022-10-18,1,DOSES(J07E1),65 ans et plus,555059
2022-2023,2022-10-18,1,ACTE(VGP),moins de 65 ans,37380
2022-2023,2022-10-18,1,DOSES(J07E1),moins de 65 ans,119448
2022-2023,2022-10-19,2,ACTE(VGP),65 ans et plus,120484
2022-2023,2022-10-19,2,DOSES(J07E1),65 ans et plus,396041
2022-2023,2022-10-19,2,ACTE(VGP),moins de 65 ans,27396
2022-2023,2022-10-19,2,DOSES(J07E1),moins de 65 ans,82064
2022-2023,2022-10-20,3,ACTE(VGP),65 ans et plus,108450
2022-2023,2022-10-20,3,DOSES(J07E1),65 ans et plus,332013
2022-2023,2022-10-20,3,ACTE(VGP),moins de 65 ans,23765
2022-2023,2022-10-20,3,DOSES(J07E1),moins de 65 ans,66854
2022-2023,2022-10-21,4,ACTE(VGP),65 ans et plus,109942
2022-2023,2022-10-21,4,DOSES(J07E1),65 ans et plus,284934
2022-2023,2022-10-21,4,ACTE(VGP),moins de 65 ans,24291
2022-2023,2022-10-21,4,DOSES(J07E1),moins de 65 ans,65265
2022-2023,2022-10-22,5,ACTE(VGP),65 ans et plus,30803
2022-2023,2022-10-22,5,DOSES(J07E1),65 ans et plus,123654
2022-2023,2022-10-22,5,ACTE(VGP),moins de 65 ans,13179
2022-2023,2022-10-22,5,DOSES(J07E1),moins de 65 ans,37333
2022-2023,2022-10-23,6,ACTE(VGP),65 ans et plus,671
2022-2023,2022-10-23,6,DOSES(J07E1),65 ans et plus,1346
2022-2023,2022-10-23,6,ACTE(VGP),moins de 65 ans,295
2022-2023,2022-10-23,6,DOSES(J07E1),moins de 65 ans,573
2022-2023,2022-10-24,7,ACTE(VGP),65 ans et plus,81614
2022-2023,2022-10-24,7,DOSES(J07E1),65 ans et plus,224971
2022-2023,2022-10-24,7,ACTE(VGP),moins de 65 ans,19431
2022-2023,2022-10-24,7,DOSES(J07E1),moins de 65 ans,51813
2022-2023,2022-10-25,8,ACTE(VGP),65 ans et plus,98327
2022-2023,2022-10-25,8,DOSES(J07E1),65 ans et plus,253772
2022-2023,2022-10-25,8,ACTE(VGP),moins de 65 ans,20340
2022-2023,2022-10-25,8,DOSES(J07E1),moins de 65 ans,53815
2022-2023,2022-10-26,9,ACTE(VGP),65 ans et plus,74157
2022-2023,2022-10-26,9,DOSES(J07E1),65 ans et plus,198278
2022-2023,2022-10-26,9,ACTE(VGP),moins de 65 ans,17048
2022-2023,2022-10-26,9,DOSES(J07E1),moins de 65 ans,45902
2022-2023,2022-10-27,10,ACTE(VGP),65 ans et plus,69950
2022-2023,2022-10-27,10,DOSES(J07E1),65 ans et plus,185155
2022-2023,2022-10-27,10,ACTE(VGP),moins de 65 ans,16212
2022-2023,2022-10-27,10,DOSES(J07E1),moins de 65 ans,42811
2022-2023,2022-10-28,11,ACTE(VGP),65 ans et plus,68039
2022-2023,2022-10-28,11,DOSES(J07E1),65 ans et plus,176185
2022-2023,2022-10-28,11,ACTE(VGP),moins de 65 ans,17827
2022-2023,2022-10-28,11,DOSES(J07E1),moins de 65 ans,45227
2022-2023,2022-10-29,12,ACTE(VGP),65 ans et plus,21996
2022-2023,2022-10-29,12,DOSES(J07E1),65 ans et plus,77062
2022-2023,2022-10-29,12,ACTE(VGP),moins de 65 ans,9348
2022-2023,2022-10-29,12,DOSES(J07E1),moins de 65 ans,25269
2022-2023,2022-10-30,13,ACTE(VGP),65 ans et plus,328
2022-2023,2022-10-30,13,DOSES(J07E1),65 ans et plus,748
2022-2023,2022-10-30,13,ACTE(VGP),moins de 65 ans,150
2022-2023,2022-10-30,13,DOSES(J07E1),moins de 65 ans,327
2022-2023,2022-10-31,14,ACTE(VGP),65 ans et plus,54934
2022-2023,2022-10-31,14,DOSES(J07E1),65 ans et plus,146846
2022-2023,2022-10-31,14,ACTE(VGP),moins de 65 ans,16339
2022-2023,2022-10-31,14,DOSES(J07E1),moins de 65 ans,41258
2022-2023,2022-11-01,15,ACTE(VGP),65 ans et plus,590
2022-2023,2022-11-01,15,DOSES(J07E1),65 ans et plus,1399
2022-2023,2022-11-01,15,ACTE(VGP),moins de 65 ans,256
2022-2023,2022-11-01,15,DOSES(J07E1),moins de 65 ans,642
2022-2023,2022-11-02,16,ACTE(VGP),65 ans et plus,96597
2022-2023,2022-11-02,16,DOSES(J07E1),65 ans et plus,234277
2022-2023,2022-11-02,16,ACTE(VGP),moins de 65 ans,20145
2022-2023,2022-11-02,16,DOSES(J07E1),moins de 65 ans,52257
2022-2023,2022-11-03,17,ACTE(VGP),65 ans et plus,93660
2022-2023,2022-11-03,17,DOSES(J07E1),65 ans et plus,217316
2022-2023,2022-11-03,17,ACTE(VGP),moins de 65 ans,19878
2022-2023,2022-11-03,17,DOSES(J07E1),moins de 65 ans,49363
2022-2023,2022-11-04,18,ACTE(VGP),65 ans et plus,97058
2022-2023,2022-11-04,18,DOSES(J07E1),65 ans et plus,219154
2022-2023,2022-11-04,18,ACTE(VGP),moins de 65 ans,23150
2022-2023,2022-11-04,18,DOSES(J07E1),moins de 65 ans,54327
2022-2023,2022-11-05,19,ACTE(VGP),65 ans et plus,31409
2022-2023,2022-11-05,19,DOSES(J07E1),65 ans et plus,101129
2022-2023,2022-11-05,19,ACTE(VGP),moins de 65 ans,13019
2022-2023,2022-11-05,19,DOSES(J07E1),moins de 65 ans,33848
2022-2023,2022-11-06,20,ACTE(VGP),65 ans et plus,565
2022-2023,2022-11-06,20,DOSES(J07E1),65 ans et plus,1210
2022-2023,2022-11-06,20,ACTE(VGP),moins de 65 ans,195
2022-2023,2022-11-06,20,DOSES(J07E1),moins de 65 ans,542
2022-2023,2022-11-07,21,ACTE(VGP),65 ans et plus,112702
2022-2023,2022-11-07,21,DOSES(J07E1),65 ans et plus,237488
2022-2023,2022-11-07,21,ACTE(VGP),moins de 65 ans,22884
2022-2023,2022-11-07,21,DOSES(J07E1),moins de 65 ans,54239
2022-2023,2022-11-08,22,ACTE(VGP),65 ans et plus,133561
2022-2023,2022-11-08,22,DOSES(J07E1),65 ans et plus,266081
2022-2023,2022-11-08,22,ACTE(VGP),moins de 65 ans,24760
2022-2023,2022-11-08,22,DOSES(J07E1),moins de 65 ans,58301
2022-2023,2022-11-09,23,ACTE(VGP),65 ans et plus,102250
2022-2023,2022-11-09,23,DOSES(J07E1),65 ans et plus,208901
2022-2023,2022-11-09,23,ACTE(VGP),moins de 65 ans,21294
2022-2023,2022-11-09,23,DOSES(J07E1),moins de 65 ans,52651
2022-2023,2022-11-10,24,ACTE(VGP),65 ans et plus,116775
2022-2023,2022-11-10,24,DOSES(J07E1),65 ans et plus,230745
2022-2023,2022-11-10,24,ACTE(VGP),moins de 65 ans,26072
2022-2023,2022-11-10,24,DOSES(J07E1),moins de 65 ans,58258
2022-2023,2022-11-11,25,ACTE(VGP),65 ans et plus,697
2022-2023,2022-11-11,25,DOSES(J07E1),65 ans et plus,2327
2022-2023,2022-11-11,25,ACTE(VGP),moins de 65 ans,337
2022-2023,2022-11-11,25,DOSES(J07E1),moins de 65 ans,1123
2022-2023,2022-11-12,26,ACTE(VGP),65 ans et plus,36594
2022-2023,2022-11-12,26,DOSES(J07E1),65 ans et plus,100344
2022-2023,2022-11-12,26,ACTE(VGP),moins de 65 ans,13823
2022-2023,2022-11-12,26,DOSES(J07E1),moins de 65 ans,34557
2022-2023,2022-11-13,27,ACTE(VGP),65 ans et plus,485
2022-2023,2022-11-13,27,DOSES(J07E1),65 ans et plus,1206
2022-2023,2022-11-13,27,ACTE(VGP),moins de 65 ans,184
2022-2023,2022-11-13,27,DOSES(J07E1),moins de 65 ans,508
2022-2023,2022-11-14,28,ACTE(VGP),65 ans et plus,113832
2022-2023,2022-11-14,28,DOSES(J07E1),65 ans et plus,213682
2022-2023,2022-11-14,28,ACTE(VGP),moins de 65 ans,22796
2022-2023,2022-11-14,28,DOSES(J07E1),moins de 65 ans,53117
2022-2023,2022-11-15,29,ACTE(VGP),65 ans et plus,136849
2022-2023,2022-11-15,29,DOSES(J07E1),65 ans et plus,239387
2022-2023,2022-11-15,29,ACTE(VGP),moins de 65 ans,27923
2022-2023,2022-11-15,29,DOSES(J07E1),moins de 65 ans,63544
2022-2023,2022-11-16,30,ACTE(VGP),65 ans et plus,104578
2022-2023,2022-11-16,30,DOSES(J07E1),65 ans et plus,188634
2022-2023,2022-11-16,30,ACTE(VGP),moins de 65 ans,23733
2022-2023,2022-11-16,30,DOSES(J07E1),moins de 65 ans,56587
2022-2023,2022-11-17,31,ACTE(VGP),65 ans et plus,102056
2022-2023,2022-11-17,31,DOSES(J07E1),65 ans et plus,178457
2022-2023,2022-11-17,31,ACTE(VGP),moins de 65 ans,23585
2022-2023,2022-11-17,31,DOSES(J07E1),moins de 65 ans,52559
2022-2023,2022-11-18,32,ACTE(VGP),65 ans et plus,97862
2022-2023,2022-11-18,32,DOSES(J07E1),65 ans et plus,168857
2022-2023,2022-11-18,32,ACTE(VGP),moins de 65 ans,27578
2022-2023,2022-11-18,32,DOSES(J07E1),moins de 65 ans,58462
2022-2023,2022-11-19,33,ACTE(VGP),65 ans et plus,27756
2022-2023,2022-11-19,33,DOSES(J07E1),65 ans et plus,65350
2022-2023,2022-11-19,33,ACTE(VGP),moins de 65 ans,16166
2022-2023,2022-11-19,33,DOSES(J07E1),moins de 65 ans,36452
2022-2023,2022-11-20,34,ACTE(VGP),65 ans et plus,351
