campagne,date,jour,variable,groupe,valeur
2023-2024,2023-10-17,1,ACTE(VGP),65 ans et plus,165358
2023-2024,2023-10-17,1,DOSES(J07E1),65 ans et plus,460513
2023-2024,2023-10-17,1,ACTE(VGP),moins de 65 ans,45120
2023-2024,2023-10-17,1,DOSES(J07E1),moins de 65 ans,109899
2023-2024,2023-10-18,2,ACTE(VGP),65 ans et plus,120833
2023-2024,2023-10-18,2,DOSES(J07E1),65 ans et plus,315498
2023-2024,2023-10-18,2,ACTE(VGP),moins de 65 ans,33324
2023-2024,2023-10-18,2,DOSES(J07E1),moins de 65 ans,77909
2023-2024,2023-10-19,3,ACTE(VGP),65 ans et plus,126152
2023-2024,2023-10-19,3,DOSES(J07E1),65 ans et plus,300589
2023-2024,2023-10-19,3,ACTE(VGP),moins de 65 ans,32594
2023-2024,2023-10-19,3,DOSES(J07E1),moins de 65 ans,70954
2023-2024,2023-10-20,4,ACTE(VGP),65 ans et plus,112963
2023-2024,2023-10-20,4,DOSES(J07E1),65 ans et plus,255531
2023-2024,2023-10-20,4,ACTE(VGP),moins de 65 ans,34831
2023-2024,2023-10-20,4,DOSES(J07E1),moins de 65 ans,70718
2023-2024,2023-10-21,5,ACTE(VGP),65 ans et plus,32658
2023-2024,2023-10-21,5,DOSES(J07E1),65 ans et plus,103700
2023-2024,2023-10-21,5,ACTE(VGP),moins de 65 ans,18330
2023-2024,2023-10-21,5,DOSES(J07E1),moins de 65 ans,40878
2023-2024,2023-10-22,6,ACTE(VGP),65 ans et plus,265
2023-2024,2023-10-22,6,DOSES(J07E1),65 ans et plus,1493
2023-2024,2023-10-22,6,ACTE(VGP),moins de 65 ans,212
2023-2024,2023-10-22,6,DOSES(J07E1),moins de 65 ans,435
2023-2024,2023-10-23,7,ACTE(VGP),65 ans et plus,97705
2023-2024,2023-10-23,7,DOSES(J07E1),65 ans et plus,218232
2023-2024,2023-10-23,7,ACTE(VGP),moins de 65 ans,27917
2023-2024,2023-10-23,7,DOSES(J07E1),moins de 65 ans,59534
2023-2024,2023-10-24,8,ACTE(VGP),65 ans et plus,119787
2023-2024,2023-10-24,8,DOSES(J07E1),65 ans et plus,252434
2023-2024,2023-10-24,8,ACTE(VGP),moins de 65 ans,30503
2023-2024,2023-10-24,8,DOSES(J07E1),moins de 65 ans,62660
2023-2024,2023-10-25,9,ACTE(VGP),65 ans et plus,90320
2023-2024,2023-10-25,9,DOSES(J07E1),65 ans et plus,200503
